Frequency, Node, Associated_Gene_Names
0.807,49,AL671277.1
0.818,89,(ENSG00000264091)
0.852,213,GCNT4
0.875,345,TNNT1
0.92,489,OR51E2
0.83,555,AP001610.3
0.807,598,NRAP
0.943,822,MYH7
0.955,866,SIM2
0.989,1172,IGKJ5
0.807,1615,SNORD60
0.909,1814,HDGFP1
0.886,1858,DEFB131A
0.818,2163,LINC01509
0.818,2191,DAPL1
0.886,2772,PCAT18
0.989,2812,AL365357.1
0.818,2818,LUZP2
0.841,2847,APOBEC2
0.807,3085,CNTFR
0.864,3227,RAP1GAP
0.807,3439,TMSB15A
0.807,3440,H19
0.864,3541,SCGB3A1
0.989,3730,COX6CP1
0.83,3839,ADRB1
0.841,3987,CGREF1
0.932,4241,HPN
0.852,4774,FAM83A
0.818,4870,SLC45A2
0.807,5069,MYBPC1
0.83,5188,PNRC2P1
0.852,5227,TGM3
0.864,5400,MIR548AR
0.875,5460,C2orf72
0.83,5491,ACTA1
0.943,5564,HOXB13
0.909,5763,PNMT
0.83,6075,MAL
0.932,6154,MICOS10P3
0.807,6449,CRABP2
0.898,6458,BMP5
0.864,6579,CLCA2
0.818,6755,CRISP3
0.807,6834,C2orf88
0.818,7254,AL133370.1
0.886,7273,KLK4
0.807,7299,KRT13
0.818,7644,SNAP25
0.83,8036,STEAP1
0.977,8137,PCA3
0.886,8285,SLN
0.909,8731,CA3
0.886,8765,GPX2
0.852,8950,COX20P1
0.852,10114,ACTC1
0.875,10757,APOF
0.807,10920,CXCR2
0.932,11088,MTRNR2L1
0.864,11256,ACSM1
0.852,11369,MSLN
0.989,11605,RPSAP53
0.83,11666,AC104667.2
0.943,12125,MYL2
0.932,12138,CLDN2
0.807,12233,TCAP
0.83,12730,DNASE2B
0.875,13004,EMX2
0.841,13380,AL033523.1
0.886,13563,SCARA5
0.898,13692,C1DP1
0.83,13720,RAB3B
0.807,14038,AC006329.1
0.818,14134,MIR6739
0.943,14331,KLK2
0.92,15036,TRGC1
0.875,15200,TMEM238L
0.83,15305,UGT2B7
0.818,15467,MIR5690
0.886,15811,PCAT14
0.841,16211,NPY
0.841,16319,IRX4
0.943,17083,TRIM36
0.875,17232,AMACR
0.966,17293,SPDEF
0.864,17295,LINC00958
0.818,17634,DUOXA2
0.83,18423,AC139783.1
0.92,18444,FOXA1
0.852,18974,MIR4530
0.966,19126,PATE4
0.807,19467,NKX3-1
0.818,19508,PABPC1L2B
0.83,19512,LINC00992
0.841,19590,DNAH5
0.818,19668,SLIT1
1.0,19846,PSPHP1
0.83,19991,QPRT
0.83,20164,TRPM4
0.886,20462,FOLH1
0.83,20565,DLX1
0.909,20668,PADI3
0.83,20697,S100A14
0.852,21124,AL773545.3
0.852,21167,BEND4
0.92,21391,LINC02674
0.818,21480,CYP4F22
0.83,21504,AC141930.1
0.83,22017,AC011523.1
0.807,22111,(ENSG00000222939)
0.886,22174,GLYATL1
0.909,22208,FEV
0.932,22223,EDDM3B
0.886,22920,PTGS1
0.83,22927,RPL23AP61
0.875,23022,MTND4P12
0.864,23395,MIR222
0.955,23401,SERPINA5
0.909,23774,POU3F3
0.898,23961,CRISP1
0.932,24015,MYL1
0.966,24179,AQP2
0.841,24217,HOXC4
0.807,24223,DUOX2
0.875,24368,FUT3
0.852,24487,EPHA10
0.852,24562,SMPDL3B
0.818,24861,AC098649.1
0.807,25070,FBXL21P
0.875,25208,SNORD88A
0.818,25525,SCGB1A1
0.943,26028,PAEP
0.841,26823,PODXL2
0.841,26989,MT-TS2
0.807,27224,LMOD2
0.898,27239,KLK3
0.841,27398,NPFFR2
0.83,27762,MIR4326
0.875,27845,MFSD2A
0.864,27897,STX19
0.875,28160,TMEM114
0.841,28223,GRXCR1
0.818,28279,SNORD116-27
0.909,28387,AC104692.1
0.841,28419,CYP4B1
0.886,28452,MYH6
0.932,28518,SMR3B
0.83,28548,SPINT3
0.875,28554,CRTAC1
0.83,29230,FOLR1
0.909,29855,LY6D
0.875,30015,PCAT7
0.909,30024,SLC39A2
0.841,30310,IGHJ2
0.841,30503,GAL
0.852,30719,ARHGEF38
0.83,30852,NPY6R
0.83,30890,(ENSG00000276797)
0.898,31912,TRGJP2
0.818,32052,LINC01291
0.852,32837,OR51A9P
0.841,33533,VPS9D1-AS1
0.875,33650,EMX2OS
0.807,33739,KCNC2
0.875,34193,PRAC1
0.818,34198,PCGEM1
0.943,34974,AL359314.1
0.864,34987,KCNJ15
0.807,35102,H2AW
0.852,35293,AKR1B1
0.841,35400,TMEFF2
0.818,35476,AQP5
0.864,35775,AC012307.1
0.83,36070,C10orf82
0.864,36091,NLRP2
0.943,36384,CSRP3
0.966,36707,PATE1
0.932,36756,SEMG1
0.841,36838,TRBJ2-2P
0.864,36854,NDRG4
0.807,36863,ARL4D
0.898,36955,MCF2
0.818,37441,AL162411.1
0.818,37926,PANTR1
0.818,38137,MYL3
0.83,38172,CEL
0.852,38404,AP000696.1
0.932,38512,SPINK2
0.807,38513,PAQR8
0.818,38734,PENK
0.886,38793,HOXB8
0.841,39089,AC005336.3
0.818,39307,KRT24
0.875,39644,RPL7P16
0.841,39658,HSD17B13
0.875,39762,TGM4
0.807,40237,AC008759.3
0.83,40422,MIR4701
0.909,40590,PIK3C2G
0.909,40665,AP006748.1
0.932,40777,MUC6
0.92,41127,SEMG2
0.841,41213,AP005018.2
0.807,41420,B3GAT1-DT
0.875,41496,C10orf99
0.864,41519,TRGV9
0.818,41599,SBSPON
0.864,41732,GOLM1
0.818,41813,TMEM132C
0.852,41847,TRPM8
0.818,42840,KLHL14
0.864,43041,SLC13A2
0.818,43115,LINC01671
0.807,43290,TNNC1
0.852,43352,PRR36
0.83,43366,CIDEC
0.818,43487,CLU
0.818,44045,G0S2
0.966,44677,EDDM3A
0.818,45294,LINC00668
0.818,45432,Y_RNA
0.83,45637,TNNT3
0.841,45778,PCP4L1
0.807,45998,LINC00839
0.864,46096,HOXC6
0.83,46135,B3GAT1
0.83,46260,CXCL13
0.886,46417,ABCC4
0.841,46448,AC009119.1
0.818,46507,PYCR1
0.818,46580,DUOXA1
0.841,46915,CYP4F2
0.92,46922,CancerGen
